project_name,proponent,region,province,municipalities,project_type,power_mw,status,source,url,updated_at
"IMPIANTO FOTOVOLTAICO \MARGHERITO\""""",LUMINORA RAMACCA S.R.L.,Sicilia,,,V.I.A. (art.23 - 27bis),,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1601&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T08:06:44.253394
Impianto FER agrivoltaico - Comune di Brindisi (BR) - 11.22 MW,,Puglia,BR,Brindisi,Puglia VIA FER - agrivoltaico,11.22,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T08:06:45.663778
Impianto FER agrivoltaico - Comune di Avetrana (TA BR) - 15.57 MW,,Puglia,TA BR,Avetrana,Puglia VIA FER - agrivoltaico,15.57,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T08:06:45.665218
Impianto FER agrivoltaico - Comune di Lucera (FG) - 44.51 MW,,Puglia,FG,Lucera,Puglia VIA FER - agrivoltaico,44.51,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T08:06:45.673066
Impianto FER fotovoltaico - Comune di Francavilla Fontana (TA-BR) - 56 MW,,Puglia,TA-BR,Francavilla Fontana,Puglia VIA FER - fotovoltaico,56.0,Aperto,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T08:06:45.695661
Impianto FER agrivoltaico - Comune di Latiano (BR) - 26.03 MW,,Puglia,BR,Latiano,Puglia VIA FER - agrivoltaico,26.03,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T08:06:45.697015
Impianto FER agrivoltaico - Comune di Gravina in Puglia (BA) - 50.11 MW,,Puglia,BA,Gravina in Puglia,Puglia VIA FER - agrivoltaico,50.11,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T08:06:45.754100
Impianto FER agrivoltaico - Comune di Apricena (FG) - 18.513 MW,,Puglia,FG,Apricena,Puglia VIA FER - agrivoltaico,18.513,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T08:06:45.761084
Impianto FER agrivoltaico - Comune di Foggia (FG) - 38.002 MW,,Puglia,FG,Foggia,Puglia VIA FER - agrivoltaico,38.002,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T08:06:45.780372
Impianto FER fotovoltaico - Comune di Foggia (FG) - 90 MW,,Puglia,FG,Foggia,Puglia VIA FER - fotovoltaico,90.0,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T08:06:45.781451
Impianto FER agrivoltaico - Comune di Orta Nova (FG) - 47.83 MW,,Puglia,FG,Orta Nova,Puglia VIA FER - agrivoltaico,47.83,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T08:06:45.784110
IMPIANTO FOTOVOLTAICO DI 6 MW DENOMINATO GEMINI 2,URBA-I 020102 S.R.L.,Sicilia,,,Verifica di Assoggettabilita a VIA (art.19),6.0,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1358&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T08:06:43.959782
"Realizzazione Impianto Agrivoltaico della potenza di 1.481,48 kW denominato “Borgo San Michele”",GREEAN DEAL SRL,Lazio,Latina,Latina,VIA,1.48148,,lazio,https://regionelazio.app.box.com/v/VIA-032-2023,2026-04-26T08:07:23.373766
"Impianto agro-fotovoltaico a terra della potenza nominale di circa 84 MWp nel comune di Figline e Incisa Valdarno (FI) denominato: ""H2-ERA GREEN VALLEY""",H2-ERA GREEN VALLEY SRL,Toscana,FI,"FIGLINE, INCISA VALDARNO",Verifica di Ottemperanza (PNIEC-PNRR),84.0,Verifica di Ottemperanza (PNIEC-PNRR),mase,https://va.mite.gov.it/it-IT/Oggetti/Info/10052,2026-04-26T08:09:48.213682
Impianto FER fotovoltaico - Comune di Altamura (BA) - 17.15 MW,,Puglia,BA,Altamura,Puglia VIA FER - fotovoltaico,17.15,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T08:06:45.675840
